Title,Artist,ConstituentID,ArtistBio,Ethnicity,Nationality,Gender,Medium,CreditLine,Classification,Department,DateAcquired,URL,ImageURL
Rubber Mat,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Multiple of rubber silicone,"Purchased with proceeds from the 1998 ""Clue"" event, sponsored by the Junior Associates of The Museum of Modern Art, New York",Multiple,Drawings & Prints,1999-03-04,https://www.moma.org/collection/works/60839,https://www.moma.org/media/W1siZiIsIjE4MjIwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=297f499fcb24ff83
Untitled (grater),Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Rubbing on wax paper,Acquired through the generosity of Marian and James H. Cohen in memory of their son Michael Harrison Cohen,Print,Drawings & Prints,1997-03-06,https://www.moma.org/collection/works/62143,https://www.moma.org/media/W1siZiIsIjE1MjgwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=330fd2f84d3fde6a
Untitled (Brain),Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Multiple of silicone rubber,Gift of the artist in memory of Penny McCall,Multiple,Drawings & Prints,1999-05-20,https://www.moma.org/collection/works/63354,https://bard.emuseum.com/objects/256/untitled-brain?ctx=7ba681310d372094d7e4c1cbafd9cce41bf2c354&idx=7
"Head of a Girl, Full Face (Mädchenkopf, en face)",Jussuf Abbo,40,"(Palestinian, 1888–1953)",Palestinian,(Palestinian),(male),Lithograph with watercolor additions,Gift of Abby Aldrich Rockefeller,Print,Drawings & Prints,1940-04-05,https://www.moma.org/collection/works/65317,https://www.moma.org/media/W1siZiIsIjE4MDkyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5574a73078730ab9
Head and Shoulders of a Girl (Kopf und Schulter eines Mädchens),Jussuf Abbo,40,"(Palestinian, 1888–1953)",Palestinian,(Palestinian),(male),Lithograph,Gift of Abby Aldrich Rockefeller,Print,Drawings & Prints,1940-04-05,https://www.moma.org/collection/works/65333,https://www.moma.org/media/W1siZiIsIjE4MDgzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ea346c395f72fbb5
Untitled (Thiers knives III),Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Rubbing on wax paper,Virgina Cowles Schroth Fund,Print,Drawings & Prints,2001-01-24,https://www.moma.org/collection/works/75746,https://www.moma.org/media/W1siZiIsIjE1MjgwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7f75981f5dd194c6
Untitled (panhandled colander),Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Rubbing on wax paper,Virginia Cowles Schroth Fund,Print,Drawings & Prints,2001-01-24,https://www.moma.org/collection/works/75750,https://www.moma.org/media/W1siZiIsIjE1MjgwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=da29f0ca2644f8ae
Silence,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Glass,Robert B. and Emilie W. Betts Foundation Fund,Sculpture,Painting & Sculpture,1995-05-08,https://www.moma.org/collection/works/80993,https://www.moma.org/media/W1siZiIsIjIxMDM1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=29f016f5dbd8a0c9
Untitled (hair grid with knots 3),Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Human hair with hair spray tied to transparentized paper,Purchase,Drawing,Drawings & Prints,2002-10-15,https://www.moma.org/collection/works/86813,https://www.moma.org/media/W1siZiIsIjkzODkzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMTAyNHgxMDI0XHUwMDNlIl1d.jpg?sha=fe2f496e97990e1e
Untitled (grey hair grid with knots 3),Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Human hair with hair spray tied to black paper,Purchase,Drawing,Drawings & Prints,2002-12-10,https://www.moma.org/collection/works/86933,https://www.moma.org/media/W1siZiIsIjEyODYxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=cc9bba7e464dcdeb
hair there and every where,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91525,https://www.moma.org/media/W1siZiIsIjU0OTUwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=707c687fd2fa9d30
Pin Rug,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),"Stainless steel pins, canvas, and glue",Gift of Agnes Gund,Sculpture,Painting & Sculpture,2004-06-08,https://www.moma.org/collection/works/91777,https://www.moma.org/media/W1siZiIsIjI3ODk4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e968cd44451375c0
Untitled from hair there and everywhere,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91871,https://www.moma.org/media/W1siZiIsIjEwMDkwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1aa4495a0c6878ee
Untitled from hair there and everywhere,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91872,https://www.moma.org/media/W1siZiIsIjEwMDkwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4f8f4fb09c83d3f1
Untitled from hair there and every where,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91873,https://www.moma.org/media/W1siZiIsIjEwMDkwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=179d3b1ef4afbb3d
Untitled from hair there and everywhere,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91874,https://www.moma.org/media/W1siZiIsIjEwMDkwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b1af30c787fbffda
Untitled from hair there and everywhere,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91875,https://www.moma.org/media/W1siZiIsIjEwMDkwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=65d0797ad87f0cdb
Untitled from hair there and everywhere,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91876,https://www.moma.org/media/W1siZiIsIjEwMDkwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a411ab50f134ace5
Untitled from hair there and everywhere,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91877,https://www.moma.org/media/W1siZiIsIjEwMDkwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=32dcd37b547442e8
Untitled from hair there and every where,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91878,https://www.moma.org/media/W1siZiIsIjEwMDkxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=59ef897e9c4a723a
Untitled from hair there and everywhere,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91879,https://www.moma.org/media/W1siZiIsIjEwMDkxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7a110b6db2ae12ed
Untitled from hair there and every where,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),One from a portfolio of ten etchings with chine collé,Carol and Morton H. Rapp Fund,Print,Drawings & Prints,2004-06-02,https://www.moma.org/collection/works/91880,https://www.moma.org/media/W1siZiIsIjEwMDkxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1c287573fa951ea3
Routes II,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),"Gel pen and colored ink on five maps
a: Gel pen on map
b: Gel pen on map
c: Colored ink on map
d: Gel pen on map
e: Colored ink on map",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Drawing,Drawings & Prints,2005-05-10,https://www.moma.org/collection/works/96106,https://www.moma.org/media/W1siZiIsIjEyMjY3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=15fa52e08c6ecfb0
Hair Drawing,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Human hair on handmade paper,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Drawing,Drawings & Prints,2005-05-10,https://www.moma.org/collection/works/96107,https://www.moma.org/media/W1siZiIsIjExNDU5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=24ccf6a3f332e959
Hair Drawing,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Human hair and fingernail on handmade paper,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Drawing,Drawings & Prints,2005-05-10,https://www.moma.org/collection/works/96108,https://www.moma.org/media/W1siZiIsIjExNDU5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=be238388a03537b2
Hair Drawing,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),Human hair on handmade paper,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Drawing,Drawings & Prints,2005-05-10,https://www.moma.org/collection/works/96109,https://www.moma.org/media/W1siZiIsIjExNDU5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=cc9f3b8991a091f8
+ and -,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),"Sand, steel, aluminum, and electric motor",Gift of Jerry Speyer and Committee on Painting and Sculpture Funds,Sculpture,Painting & Sculpture,2005-12-12,https://www.moma.org/collection/works/101550,https://www.moma.org/media/W1siZiIsIjExNTg3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ec107ceecfb02f34
Over my dead body from the Museum in Progress project Interventions,Mona Hatoum,7447,"(British of Palestinian origin, born in Beirut, Lebanon 1952)",Palestinian,(British),(female),"Lithograph, offset printed",Linda Barth Goldstein Fund,Illustrated Book,Drawings & Prints,2004-06-02,,
Untitled from the Museum in Progress project The Message as Medium,Fareed Armaly,30853,"(Lebanese–Palestinian, born USA 1957)",Palestinian,(American),(male),"Lithograph, offset printed",Linda Barth Goldstein Fund,Print,Drawings & Prints,2006-06-01,,
Ramallah/New York,Emily Jacir,28422,"(Palestinian, born 1970)",Palestinian,(American),(female),"Two-channel standard-definition video (color, sound; 38:50 min.) and two flat screen monitors",Fund for the Twenty-First Century,Installation,Media and Performance,2007-09-24,https://www.moma.org/collection/works/110909,https://www.moma.org/media/W1siZiIsIjE0NjQ5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=56cbc65d05c585f7
